	item	desc	domain	meaning	example_1	example_2	example_3	example_4
7560	QAYT-	v.int | NX+dan ~	Will, Ability and Necessity	refrain from X				
7565	tiyil-	N(ish)X+dan ~	Will, Ability and Necessity	hold X off, abstain from X	Vrach unga chekishdan tiyilishni maslahat berdi.	The doctor advised him to abstain from smoking.		
7570	JUR'AT	n	Will, Ability and Necessity	daring, determination	Biz jur'at bilan ishlaymiz.	We are working with determination.		
7571	JUR'AT	N(ish)X+ga jur'at qil-/et-	Will, Ability and Necessity	dare X | decide (o.s) for X	Men toqqa jonashga jur'at etolmayapman.	I couldn't decide for a trip to the mountains.		
7574	QAROR	n	Will, Ability and Necessity	decision, resolution	Kechagi majlisda maktab ishlarini yaxshilash uchun qaror qabul qilindi.	At yesterday's meeting the resolution to improve school matters was carried.	Qarori yo'q odam.	Man of indecision.
7577	QAROR	VX+ishga qaror qil-	Will, Ability and Necessity	decide to X	Nihoyat, u shu safarga chiqishga qaror qildi.	At last he decided on this journey.	Jyuri bu skripkachiga birinchi mukofotni berishga qaror qildi.	The judges awarded the first prize to this violonist.
7581	ikkilan-	v.int	Will, Ability and Necessity	hesitate, be undecided				
7585	QOBILIYAT	n	Will, Ability and Necessity	capacity, capability, ability	U kishida bu ishni qilish uchun qobiliyat bor.	That man has the ability to do this work.	Unda shoirlik qobiliyati bor.	He has poetic talent.
7586	QOBILIYAT	NX+ga N(ish)Y ~+i bor	Will, Ability and Necessity	(X) have the ability, aptitude for Y	U matematikaga qobiliyati borligini ko'rsatdi.	He shows aptitude for mathematics.		
7590	ISTE'DOD	n	Will, Ability and Necessity	talent, faculty, ability				
7595	QODIR	adj | N(ish)X+ga ~	Will, Ability and Necessity	(be) able, capable to X	Bu sportchi qisqa masofaga yugurishda yuqori ko'rsatkichlarga erishishga qodir.	This sportsman is capable of high successes in spring.	U bu ishni bir o'zi bajarishga qodir.	She is capable to fulfill this work alone.
7597	LAYOQAT	n | NX+ga ~	Will, Ability and Necessity	ability, capability, gift for X	Unda chet tillarga layoqat bor.	He has gift for foreign language.	Bu ishni qilish uchun unda layoqat bor.	He has the ability to do this work.
7607	OL-	VX+a ~	Will, Ability and Necessity	can X	O'qiy olmadi.	He was not able to read.	U mening oldimga kela oldi.	He was able to come to me.
7609	BIL-	VX+ishni ~	Will, Ability and Necessity	know how to X	Suzishni bilasizmi?	Can you swim?		
7610	BIL-	VX+a ~	Will, Ability and Necessity	know how to X	Chap qo'lim bilan yozabilaman.	I can write with my left hand.		
7618	MAHORAT	n	Will, Ability and Necessity	skill, mastery, technical ability	Cho'lponda she'r yozish mahorati katta edi.	Cholpan had great skill in writing poetry.		
7631	IMKON	NY+ga V(ish)X+ga ~ ber-	Will, Ability and Necessity	make X possible to Y, enable X for Y, permit Y to X	Uning sog'ligi unga sportning istagan turi bilan shug'ullanishga imkon beradi.	His health permits him to indulge in sport.		
7633	MUMKIN	adj	Will, Ability and Necessity	possible	Mumkin bo'lsa, kelarsiz.	If it is possible, please come.		
7634	MUMKIN	adj | NX VY+ishi ~	Will, Ability and Necessity	(Y) be possible for X	Kirish mumkin.	You can come in.		
7636	BO'L-	v.int | VX+ish ~	Will, Ability and Necessity	(X) be possible				
7642	TANLA-	v.t	Will, Ability and Necessity	choose, select				
7647	SARALA-	v.t | NX+ni NY+ga qarab ~	Will, Ability and Necessity	sort, sort out X in Y	U oyoq kiyimlarni razmerlariga qarab saraladi.	She sorted out the shoes in size.	U qovunlarni saralayapti.	He is sorting the melons.
7652	O'RIN (o'rn+i)	NX+ning o'rniga	Will, Ability and Necessity	instead of X	Bu qalamning o'rniga boshqasini bering.	Please give me another pencil instead of this one.		
7655	erkin	ad	Will, Ability and Necessity	free(ly)	Fransiyada matbuot erkin.	There is freedom of the press in France.	U Angliyada erkin yashadi.	He lived freely in England.
7656	erkinlik	n	Will, Ability and Necessity	freedom, liberty				
7657	OZOD	adj | NX+dan ~	Will, Ability and Necessity	free from X, liberated, emancipated from X	Men bu ishdan ozodman.	I am free from this work.	Bu ozod mamlakat.	This is a free country.
7659	OZOD	NX+ni NY+dan ozod qil-	Will, Ability and Necessity	free, liberate, relieve, exempt,excuse X from Y	Vrach qizni jismoniy tarbiya darslaridan ozod qildi.	The doctor excused the girl from physical education.	Ishlab chiqarishni avtomatlashtirish ishchilarni og'ir qo'l mehnatidan ozod qiladi.	The automation of production relieved the workers from hard hand work.
7660	ozodlik	n	Will, Ability and Necessity	freedom, liberation, emancipation				
7668	MUSTAQIL	adj	Will, Ability and Necessity	independent	Biz mustaqil ravishda ish olib boramiz.	We are doing our work independently.		
7669	mustaqillik	n	Will, Ability and Necessity	independence				
7674	XALOS	NX+dan ~ bo'l-	Will, Ability and Necessity	be relieved, get rid of X, be freed, delivered from X	Mana xalos!	That's all!		
7675	XALOS	NX+ni NY+dan xalos qil-	Will, Ability and Necessity	relieve, free, deliver X from Y, spare X Y	Men sizni bu tashvishdan xalos qilmoqchi edi.	I wanted to spare you this care.	Bu ishni boshimdan xalos qildim.	I have been relieved of this work.
7677	QUTUL-	v.int | NX+dan ~	Will, Ability and Necessity	be released, break away, free o.s. from X, get rid of X	Men bu fikrdan qutula olmayapman.	I cannot get rid of this thought.	Og'ir ahvoldan qutulish yo'lini topdi.	He found a way out of a difficult situation.
7681	MAJBUR	adj | VX+ishga ~ (bo'l-)	Will, Ability and Necessity	(be) forced, compelled, obliged to X	Bu shahardan chiqib ketishga majbur bo'ldim.	I was forced to leave the city.		
7682	MAJBUR	NX+ni N(ish)Y+ga majbur qil-	Will, Ability and Necessity	force, compel, oblige X to Y	Sharoit meni shunday qilishga majbur qildi.	The circumstances forced me to take this step.	Sharoit meni rejamni o'zgartirishga majbur qildi.	The circumstances forced me to change my plan.
7683	majburiy	adj	Will, Ability and Necessity	compulsory, obligatory				
7687	zo'rla-	v.t | NX+ni N(ish)Y+ga ~	Will, Ability and Necessity	force, compel, oblige X to Y				
7691	to'sqinlik	NX+ga N(ish)Y+ga to'sqinlik qil-	Will, Ability and Necessity	hinder X from Y, oppose against X (doing) Y	Xastalik unga o'z rejalarini bajarishga to'sqinlik qildi.	The illness hindered him from fulfilling his plans.		
7693	XALAQIT	NY+ga N(ish)X+ga ~ ber-	Will, Ability and Necessity	prevent Y from X, hinder Y (doing X); interfere in X	Yomon havo samolyotimizning o'z vaqtida uchishiga xalaqit berdi.	Bad weather prevented from the timely take-off of our plane.	Musiqa menga ishlashga xalaqit bermaydi.	The music doesn't prevent me from doing a work.
7698	BO'SH	adj	Will, Ability and Necessity	empty, void | free (time, people), vacant (space)	Bo'sh uyingiz bormi?	Have you a room to let?	Bu yer bo'shmi?	Is this place taken?
7700	BAND	adj	Will, Ability and Necessity	busy, engaged, taken (space, people)	Men bandman.	I am busy.	Telefon liniyasi band.	The line is engaged.
7704	VAQT	vaqt+i bor	Will, Ability and Necessity	have time	Vaqtingiz bormi?	Have you got time?		
7705	VAQT	vaqt+i yo'q	Will, Ability and Necessity	have no time				
7707	VAQT	N(ish)X+ga to'g'ri kel-	Will, Ability and Necessity	it is suitable to X; it is necessary to X	Ko'p ishlashga to'g'ri keldi.	A lot of work had to be done.	Uning bilan to'g'ri kelgan joyda so'zlashaman.	I will talk to him wherever I can get hold of him.
7709	KERAK	adj | NY+ga (N(ish)Z uchun) NX ~	Will, Ability and Necessity	(Y) need X (for Z)	Oliy o'quv yurtiga kirish uchun yetuklik attestati kerak.	You need a school-leaving certificate to enter a high school.	Boltaga sop kerak.	The axe needs a handle.
7710	KERAK	adj | NX VY+ishi ~	Will, Ability and Necessity	(X) must Y	Unga yordam berish kerak.	He must be helped.	Yo'l bermaslik kerak.	It must not be allowed.
7713	kerakli	adj	Will, Ability and Necessity	necessary, needed				
7716	LOZIM	adj | NX+ga NY ~	Will, Ability and Necessity	(X) need Y	Bu kitob o'zimga lozim.	I need this book myself.		
7717	LOZIM	adj | NX VY+ishi ~	Will, Ability and Necessity	(X) must Y	Bu masala tez hal qilinishi lozim.	This problem must be resolved quickly.		
7718	ZARUR	adj	Will, Ability and Necessity	necessary, essential	Bu kitob sizga zarurmi?	Do you need this book?	Zarur vositalar.	Essential measures.
7721	zaruriyat	n	Will, Ability and Necessity	necessity, need				
7728	HOJAT	n	Will, Ability and Necessity	need, necessity, urge	Xalqning hojatini qondirish kerak.	It is necessary to satisfy the demands of the people.		
7737	MUHTOJ	adj	Will, Ability and Necessity	needy, in need				
7738	MUHTOJ	NX+ga ~ (bo'l-)	Will, Ability and Necessity	need X, be in need of X	Men sening yordamingga muhtojman.	I need your assistance.	Ahmad papirosga muhtoj bo'ldi.	Ahmad needs some cigarettes.
7746	BURCH	n | (NX oldidagi) ~	Will, Ability and Necessity	duty, obligation (by X)	U ota-onasini oldidagi burchini bajardi.	He has done his duty by his parents.	Biz o'z burchimizni o'tashimiz kerak.	We must fulfil our obligation.
7751	QIL-	v.t	Acts and Results	do, make, perform	Bu ishni qiling!	Do this work!	Bu yerda nima qilib yuribsiz?	What are you doing here?
7755	ISH	n	Acts and Results	matter, affair, business, thing | work, job, task	Ishim boshimdan ortib yotibdi.	I am swamped with work.		
7760	ishla-	v.int	Acts and Results	work				
7766	HARAKAT	n	Acts and Results	movement, move | action	Ishchilar harakati.	The workers' movement.		
7767	HARAKAT	harakat qil-	Acts and Results	act	U o'zboshimcha harakat qilmoqda.	He is acting independently.		
7772	faoliyat	n	Acts and Results	activity	Shoirning hayoti va faoliyati.	The life and work of the poet.	Uning faoliyatidan xursand bo'ldim.	I am pleased with his activity.
7777	AMAL	NX+ni amalga oshir-	Acts and Results	bring about, realize X, put X into effect	Sizning yordamingizsiz u o'z rejalarini amalga oshirolmas edi.	Without your help she wouldn't realize her plans.	Qonunni amalga oshirish kerak.	The law must be put into effect.
7780	amaliy	adj	Acts and Results	practical	Unga amaliy yordam kerak.	He needs practical help.		
7789	BEKOR	bekor qil-/et-	Acts and Results	cancel, rescind, annul	Ular kontraktni bekor qilishdi.	They have annuled the contract.	Kechagi chiqarilgan qaror bekor qilindi.	The decision which was given yesterday has been rescinded.
7794	BEHUDA	ad	Acts and Results	useless, nonsensical				
7797	UCHUN	post | N(ish)X ~	Acts and Results	for X (sake/purpose), in order to X	Mening uchun beshta kitob olib keling!	Bring me five books!	Xolamni ko'rish uchun bordim.	I went to see my aunt.
7800	NIYAT	n	Acts and Results	intention, aim	Kelgusi oyda ketish uchun niyatim bor.	My intention is to leave next month.		
7804	MAQSAD	n	Acts and Results	purpose, goal, aim, intention				
7824	QASD	n	Acts and Results	(evil) design; grudge	Menda nima qasdingiz bor?	What grudge do you have against me?		
7829	REJA	n	Acts and Results	plan, project, draft				
7841	MO'LJAL	n | NX+ga ~	Acts and Results	draft, plan for X	Sizning yozga mo'ljalingiz qanday?	What are your plans for summer?	Mo'ljalingizda soat necha bo'ldi?	What do you think is the time?
7847	tashabbuskorlik	NX+ning old+ini ol-	Acts and Results	prevent, pre-empt, avert X	Kasalni davolashdan ko'ra, uning oldini olish osonroq.	It is easier to avert an illness than to treat it.	Bu xavfning biz qanday qilib oldini olishimiz mumkin?	How can we avert this danger?
7850	KUT-	v.t	Acts and Results	wait for	Meni shu yerda kutib tur!	Wait for me here!	Biz avtobusni uzoq vaqt kutdik.	We waited a long time for the bus.
7860	NAVBAT	n	Acts and Results	turn | queue, line				
7861	NAVBAT	N(ish)X+ga ~+da tur-	Acts and Results	stand in a line, in a queue for X	Biz tushlik qilishga navbatda uzoq turmadik.	We stood not long in the queue for dinner.	U navbatda turyapti.	She is standing in a queue.
7863	KO'R-	v.int | VX+ib ~	Acts and Results	try to X, attempt to X	Sigaretingizdan chekib ko'raychi.	Let me try one of your cigarettes.	U miltiqdan otib ko'ryapti.	He is trying to fire a gun.
7864	BOQ-	v.int | VX+ib ~	Acts and Results	try to X, attempt to X	Kitobingizni o'qib boqaychi!	Let me have a look at your book!		
7866	BOQ-	N(ish)X uchun harakat qil-	Acts and Results	endeavour to X, try to X	O'qishni shu yil tamom qilish uchun harakat qilaman.	I will try to complete my studies this year.		
7867	BOQ-	VX+ishga harakat qil-	Acts and Results	endeavour to X, try to X, strive for X	Men ikki xonali kvartira olishga harakat qilyapman.	I am striving for a two-room flat.		
7869	urin-	VX+ishga ~+ib ko'r-	Acts and Results	attempt to X, try to X	U kitoblari sonini oshirishga urinib ko'rdi.	He attempted to increase the number of his books.		
7871	TIRISH-	v.int | VX+ish uchun ~	Acts and Results	try hard to X, endeavour to X	Vazifangizni o'z vaqtida bajarish uchun tirishing.	Try to finish your task on time.		
7872	tirishqoq	adj	Acts and Results	hardworking, diligent, assiduous				
7874	INTIL-	v.int | N(ish)X+ga ~	Acts and Results	strive for X, attempt to X, have a leaning towards X, endeavour to X	U bilimga intiladi.	He strives for knowledge.	Markaziy Osiyo mamlakatlarining barcha xalqlari tinchlikka intiladilar.	All people of Central Asia strive for peace.
7877	G'AYRAT	n	Acts and Results	energy, willpower, zeal	Uning g'ayrati bor odam.	He is an energetic man.		
7880	g'ayratlantir-	v.t	Acts and Results	raise sb's spirit, cheer sb up				
7881	ishchan	adj	Acts and Results	hard-working, dynamic, resourceful				
7885	KURASH-	v.int | N(ish)X uchun ~	Acts and Results	struggle, fight, strive for X	Barcha mamlakatlarning progressiv yoshlari tinchlik uchun, yangi urushga qarshi kurashmoqdalar.	The progressive young people of all countries fight for peace, against a new war.	Paxta xosilini oshirish uchun kurashish uchun.	One must strive to increase cotton production.
7887	NOMZOD	n	Acts and Results	candidate	Bu kishi bizning nomzoddir.	This man is our candidate.		
7892	TAYYOR	adj | N(ish)X+ga ~	Acts and Results	ready, prepared for X	Ota-ona hammavaqt har qanday fidokorlikka tayyor.	The parents are always ready for any sacrifice.	O'qituvchilar o'quvchilarga yordam berishga doim tayyor.	The teachers are always ready to help pupils.
7895	tayyorlik	n	Acts and Results	preparations				
7896	tayyorla-	v.t	Acts and Results	prepare	Yerni ekishga tayyorlamoq.	Prepare the land for sowing.		
7897	tayyorlan-	v.int | N(ish)X+ga ~	Acts and Results	prepare (o.s) for X, get ready for X	Imtihonga tayyorlanmoq.	Prepare the exams.		
7902	hozirla-	v.t	Acts and Results	prepare, get ready				
7904	kirish-	v.int | N(ish)X+ga ~	Acts and Results	set about X, get down to X, start Xing	Qizlar tushlikdan so'ng yana ishga kirishdilar.	After the dinner, the girls got down again to work.		
7905	OCH-	v.t	Acts and Results	open, set up, start	Keksa professor kongressni ochdi.	The old professor opened the congress.	Yangi maktab ochdik.	We opened the new school.
7911	qo'zg'at-	v.t	Acts and Results	arouse, stir up, give rise to, cause, excite	Musobaqa tashabbuskorlikni qo'zg'atadi.	The competition excites the initiative.		
7914	QO'Y-	v.int | VX+ib ~	Acts and Results	do X (and cause a result)	O'g'lingiz maktabga kelmay qo'ydi.	Your son has stopped attending school.	Otamni otga mindirib qo'ydim.	I helped my father mount the horse.
7918	TASHLA-	VX+ib ~	Acts and Results	do X quickly and thoroughly	Daraxtni kesib tashladik.	We cut up the tree.	Ikki minut ichida bir varaq xat yozib tashladim.	In two minutes I dashed off a letter of one page.
7920	YUBOR-	VX+ib ~	Acts and Results	do X suddenly and completely	Bu ishni tezdan bitirib yuborish kerak.	This work must be finished even quicker.	U eshikni kuch bilan ochib yubordi.	He burst the door open with force.
7922	AMAL	NX+ni amalga oshir-	Acts and Results	bring about, realize X, put X into effect | implement, enforce X	Sizning yordamingizsiz u o'z rejalarini amalga oshirolmas edi.	Without your help she wouldn't realize her plans.	Qonunni amalga oshirish kerak.	The law must be put into effect.
7925	BAJAR-	v.t	Acts and Results	carry out, fulfill, complete	Berilgan vazifani bajarish kerak.	The set task must be fulfilled.	Ishning to'qsan foizini bajardik.	We have completed ninety percent of the work.
7936	TARAQQIY	taraqqiy qil-/et-	Acts and Results	develop, progress, advance				
7937	taraqqiyot	n	Acts and Results	development, progress, advancement	Afrika mamlakatlari taraqqiyot uchun harakat etmoqdalar.	The african countries are striving for progress.		
7942	MASHG'UL	adj | NX bilan ~ (bo'l-)	Acts and Results	(be) busy with X	Kitob o'qish bilan mashg'ulman.	I am busy reading a book.		
7944	SHUG'ULLAN-	v.int | NX bilan ~	Acts and Results	be engaged in X, go in for X; be busy with X, be occupied at X	Siz ham savdo bilan shug'ullanasizmi?	Are you also engaged in commerce?		
7948	ERISH-	v.int | NY+da NX+ga ~	Acts and Results	achieve, obtain, attain X in Y, see X through	Ishchilar yangi metod bilan yaxshi natijalarga erishtilar.	The workers have attained good results by this new method.	U o'z ishida yaxshi natijalarga erishdi.	He achieved good results in his work.
7949	QOZON-	v.t	Acts and Results	gain, win, obtain	U xalq orasida shuhrat qozongan.	He has won fame among the people.		
7950	NATIJA	n	Acts and Results	result; conclusion				
7952	NATIJA	natija ber-	Acts and Results	have, yield a result	Kechagi ishimiz hech qanday natija bermadi.	Our yesterday's work had no result at all.		
7959	MUVAFFAQ	VX+ishga ~ bo'l-	Acts and Results	succeed in Xing, manage to X	Parijga kelishga muvaffaq bo'ldim.	I managed to come to Paris.		
7960	muvaffaqiyat	n | N(ish)X+ida ~	Acts and Results	success in X, achievement in X	Bu ishimizda muvaffaqiyatga ega bo'ldik.	We were successful in this work of ours.		
7962	muvaffaqiyat	N(ish)X+ida ~+(lar)ga erish-	Acts and Results	be successful, have success in X	U hayotda yaxshi muvaffaqiyatlarga erishgan.	He has good successes in life.		
7967	muvaffaqiyatsizlik	n	Acts and Results	failure, setback				
7980	yetish-	NX+dan ~+ib ol-	Acts and Results	catch up with X	Viktor matematikadan yetishib oldi.	Victor has catched up with the mathematics.		
7981	tugat-	v.t	Acts and Results	finish, complete, put an end to | liquidate, wipe out	Vazirlik trestda bir necha bo'limlarni tugatdi.	The Ministry has liquidated several departments in the trust.		
7986	OL-	VX+ib ~	Acts and Results	X for one's own benefit / suffering	Etigimni kiyib oldim.	I have my boots on.	Men yozib oldim.	I wrote it down.
7987	BER-	v.int | VX+ib ~	Acts and Results	X for s.o. else's benefit, assistance	U bu bolaga kitob o'qib berdi.	He read a book to this child.	Unga xat yozib berdim.	I wrote a letter for him.
7988	FOYDA	n	Acts and Results	advantage, benefit, profit				
7993	foydali	adj	Acts and Results	advantageous, beneficial, useful to X, stand X in good stead	Otamning maslahati men uchun foydali bo'ldi.	My father's advice stood me in good stead.		
7997	foydalan-	v.int | NX+dan (N(ish)Y uchun) ~	Acts and Results	take advantage of X, use, make use of X, utilize X (for Y), handle X	Uyni yig'ishtirish vaqtida bir changyutgichdan foydalanamiz.	During the cleaning we make use of a vacuum cleaner.	Sen termometrdan ehtiyotlik bilan foydalanishing kerak.	You must handle the thermometer carefully.
7998	MANFAAT	n	Acts and Results	interest, profit, benefit	Davlat manfaatidan o'z manfaatini afzal ko'radigan hodimlar bor.	There are some officials who put their own interest before that of the state.		
8003	manfaatdor	n | N(ish)X+dan ~	Acts and Results	beneficiary from X, (person) interested in X, concerned by X	Bu muammoni tez hal qilinishdan hammamiz manfaatdormiz.	We all are interested on a prompt decision on this problem.	Biz bu yangi ishdan juda manfaatdormiz.	We all are profoundly interested in this new work.
8013	ZARAR	n	Acts and Results	harm, damage, loss	Zarari yo'q!	It doesn't matter!		
8014	ZARAR	NX+ga ~ yetkaz-	Acts and Results	harm to X; injure X	Chekish sog'liqqa zarar yetkazadi.	Smoking harms to the health.	Bu bizning manfaatlarimizga zarar yetkazadi.	This injures our interests.
8020	zararli	adj	Acts and Results	harmful, detrimental				
8022	ZIYON	n	Acts and Results	loss, damage, harm				
8036	QURBON	n	Acts and Results	sacrifice, offerings | victime, martyr				
8038	QURBON	NX+ni NY uchun qurbon qil-	Acts and Results	sacrifice X for Y	O'z hayotini vatan ozodligi uchun qurbon qildi.	He has sacrificed his life for the freedom of his native land.	U hayvonni qurbon qildik.	We sacrificed that animal.
8043	YARAT-	v.t	Acts and Results	create, compose, produce; write (literature)	Bu yozuvchi qishloq hayoti haqida roman yaratdi.	This writer has written a novel about the village life.	Bu asarni u yaratdi.	He created this work.
8047	IJOD	ijod et-/qil-	Acts and Results	create, invent	Fizika olimlari atom bombasini ijod qildilar.	Physicists created the atom bomb.		
8057	QUR-	v.t	Acts and Results	build, construct (l/f)	U uy qurmoqda.	He is building a house.		
8061	qurilish	n	Acts and Results	building, construction (l/f)				
8062	quruvchi	n	Acts and Results	builder, constructor (l/f)				
8063	rivojlantir-	v.t	Acts and Results	develop; foster, promote	O'zbekiston xalqlari qo'shni mamlakatlar xalqlari bilan o'z madaniy aloqalarini rivojlantirmoqdalar.	The people of Uzbekistan promotes its cultural relations with the peoples of neighbouring countries.		
8069	TUZ-	v.t	Acts and Results	draw up, form, make, construct	U gapni noto'g'ri tuzgan.	He constructed the sentence wrongly.	Davlat tuzish uchun kurashamiz.	We are fighting to form a government.
8070	NAMUNA	n, adj	Acts and Results	model, example				
8080	TAQLID	NX+ga taqlid qil-	Acts and Results	copy X, imitate X	Bu bola hayvonlar ovoziga ustalik bilan taqlid qiladi.	This boy imitates skillfully the voices of animals.		
8083	O'RIN (o'rn+i)	NX+ning o'rn+ida	Acts and Results	in X's place				
8084	TUT-	v.t	Acts and Results	hold, keep (l/f) | maintain, preserve				
8085	SAQLA-	v.t	Acts and Results	keep, guard, safeguard, take care of | keep, observe (rules)	Bu kitobni saqlab qo'ying!	Take care of this book please!	Soqchilarimiz chegarani saqlamoqdalar.	Our guards are guarding the frontiers.
8086	SAQLA-	v.t | NX+dan ~	Acts and Results	save, preserve, protect from X				
8089	saqlan-	v.int	Acts and Results	be saved, preserved, kept	Oziq-ovqat mahsulotlari sovuq joyda saqlanadi.	The food products are kept in a cold place.	Bu yaxshi saqlangan narsa.	This is a well-kept article.
8090	saqlan-	v.int | N(ish)X+dan ~	Acts and Results	take precautions, guard against X, beware of X	Har kim shamollashdan saqlanishi kerak.	Everyone has to beware of chill.	Bu odamdan saqlaning.	Beware of this man.
8095	QUTQAR-	v.t | NX+ni NY+dan ~	Acts and Results	save, preserve, rescue, deliver X from Y	Askar bolani o't ichidan qutqarib olib chiqdi.	The soldier have saved a child from the fire.	Cho'ldagi quduq jonni qutqaradi.	A well in the desert saves lives.
8105	tuzat-	v.t	Acts and Results	arrange, tidy | repair, mend, fix | correct	Men hamma xatolarni tuzatdim.	I have corrected all the mistakes.	Bu yozuvdagi xatolarni tuzatish kerak.	The mistakes in this letter must be corrected.
8110	REMONT	remont qil-	Acts and Results	repair, mend, fix				
8120	mukammallashtir-	NX+ni ishdan chiqar-	Acts and Results	damage, upset X	Bunchalik ko'p muzqaymoq yema, bo'lmasa qozonni ishdan chiqarasan.	Don't eat so much ice, or you will upset your stomach.		
8123	yo'qotil-	NX+ni yo'q qil-	Acts and Results	destroy, annihilate X, wipe X out	O't o'rmonning ko'p qismini yo'q qildi.	The fire has destroyed the greater part of the forest.	U pulni yo'q qildi.	He squandered the money.
8129	BUZ-	v.t	Acts and Results	break, destroy, demolish, ruin | spoil, corrupt	Bu eski uyni buzaman.	I will demolish the old house.		
8130	buzil-	v.int	Acts and Results	be broken, destroyed, ruined, out of order | be spoilt, corrupted				
8133	VAYRON	adj	Acts and Results	destroyed, devastated				
8152	shikastla-	NX+ning jon+iga teg-	Acts and Results	nag X, bother X, annoy X, get X in trouble, tire X	O'yin bolaning joniga tegdi va u kitob o'qiyotgan opasining yoniga bordi.	The child was tired of playing and went to his sister who was reading a book.		
8153	VAZIFA	n	Acts and Results	task, mission, responsability | assignment	Bu vazifaning muddatini uzaytirish kerak.	The term of this assignment must be extended.		
8157	TOPSHIR-	v.t | NX+ni NY+ga ~	Acts and Results	hand over, deliver X to Y | entrust, charge Y with X, trust, assign X to Y	O'qituvchi unga muhim vazifani topshirdi.	The teacher charged him with an important mission.	Bu ishni qilish sizga topshirildi.	You are entrusted to do this mission.
8162	javobgar	adj | NX uchun / NX+ga ~	Acts and Results	responsible for X | guilty	U ish uchun javobgar.	He is responsible for the work.	U ishchilar uchun javobgar.	He is responsible for the workers.
8163	javobgarlik	n | NX uchun ~	Acts and Results	responsibility for X	U uchun javobgarlik mening zimmamga yuklangan.	The responsibility for him rests with me.		
8176	kelish-	v.int | NX+ga ~	Acts and Results	agree, reach an agreement on X	Ular bilan kelishish mumkin emas.	It is not possible to come to any agreement with them.		
8180	QATNASH-	v.int | NX+ga ~	Acts and Results	take part, participate in X, attend, join in X	Bugungi yig'ilishga qatnashasizmi?	Are you going to attend today's meeting?		
8186	ISHTIROK	n | N(ish)X+da ~	Acts and Results	participation, attendance to X	Bizning birgalashib qilayotgan ishimizda uning ishtiroki haqiqatan ham katta bo'ldi.	His participation in our teamwork was really big.	Maktab mudirlari va o'qituvchilarning ishtirokida yig'ilish bo'ldi.	There was a meeting attended by head teachers and school teachers.
8187	ISHTIROK	N(ish)X+da ishtirok et-/qil-	Acts and Results	participate to X, attend X	Kechagi yig'ilishga o'n kishi ishtirok etdi.	Ten people attended yesterday's meeting.		
8193	ARALASH-	v.int | NX+ga ~	Acts and Results	get mixed up with X | take part in X, interfere in X, meddle with X	Har ikkala davlat bir-birlarining ichki ishlariga aralashmaslikni o'z zimmasiga oldi.	Both countries pledged themselves not to interfere in the domestic affairs of each other.	Birovning ishiga aralashma!	Mind your own business!
8200	YORDAM	n	Acts and Results	help, assistance	U yordamga muhtoj.	He needs help.		
8201	YORDAM	NX+ga N(ish)Y+da ~ ber-	Acts and Results	help X in Y, with Y	O'g'il otasiga ishda yordam berdi.	The son helped the father with the work.	Unga yordam bering.	Please help him.
8203	YORDAM	tez yordam	Acts and Results	first aid				
8204	YORDAM	NX+ga NY+dan yordam qil-	Acts and Results	help X out with Y	Siz menga benzindan yordam qila olmaysizmi?	Can you help me out with petrol?		
8208	KO'MAK	n	Acts and Results	help, assistance				
8219	SHERIK	n	Acts and Results	partner | friend, comrade, companion				
8224	hamkorlik	n	Acts and Results	cooperation				
8225	hamkorlik	NY bo'yicha NX bilan hamkorlik qil-	Acts and Results	cooperate with X in Y	O'zbekiston hayotning barcha sohalari bo'yicha qo'shni davlatlar bilan yaqindan hamkorlik qiladi.	Uzbekistan collaborates with the neighbouring countries in all spheres of life.		
8229	TARAF	n	Acts and Results	side (one of two opposite sides) | side, party				
8236	MASLAHAT	n	Acts and Results	advice	U maslahatimni qabul qildi.	He took my advice.		
8237	MASLAHAT	NY+ga VX+ishni ~ ber-	Acts and Results	advise X to Y, give X advice to Y	Men senga shu filmni ko'rishni maslahat beraman.	I advise you to see this film.		
8243	maslahatlash-	v.int | NY haqida NX bilan ~	Acts and Results	consult X, ask advice from X about Y				
8245	maslahatchi	n	Acts and Results	adviser; consultant, counselor				
8253	TAVSIYA	N(ishi)X+ni NY+ga tavsiya et-/qil-	Acts and Results	recommend Y X, Y to do X, advise Y to do X	Iltimos, menga bironta qiziq kitobni tavsiya qilsangiz.	Please recommend me an interesting book.	Men senga shu kostyumni olishni tavsiya qilaman.	I advise you to buy this costume.
8258	FURSAT	n	Circumstances	opportunity, chance	Fursatdan foydalanishimiz kerak.	We must make use of the opportunity.		
8263	IMKON	NY+ga V(ish)X+ga ~ ber-	Circumstances	make X possible to Y, enable X for Y, permit Y to X	Uning sog'ligi unga sportning istagan turi bilan shug'ullanishga imkon beradi.	His health permits him to indulge in sport.		
8265	imkoniyat	n	Circumstances	possibility, opportunity				
8274	VAQT	o'z vaqtida	Circumstances	on time, in time	Bu ishni o'z vaqtida bitirdim.	I finished this work on time.		
8277	BAHONA	n	Circumstances	pretext, excuse	Mening bahonam shu.	My excuse is this.		
8285	QOCH-	v.int | N(ish)X+dan ~	Circumstances	flee X, run away from X | avoid X	Bu iboradan qoching.	Avoid this expression.	Men u bilan uchrashishdan qochaman.	I avoid meeting him.
8286	QOCH-	NX+dan ~+ib ket-	Circumstances	escape X, evade X				
8299	BAXT	n	Circumstances	good fortune, luck, happiness				
